id,Level 2 Disease Group,id,Level 3 Disease Subgroup,id,Level 4 Specific Disorder,Last Updated,Phenotype,Phenotype ID,Test,Test ID
10950,Cardiovascular disorders,33332,Arteriopathies,36469,Familial cerebral small vessel disease,20/03/18,Migraine with aura,HP:0002077,,
10950,Cardiovascular disorders,33332,Arteriopathies,36469,Familial cerebral small vessel disease,20/03/18,Migraine without aura,HP:0002083,,
10950,Cardiovascular disorders,33332,Arteriopathies,36469,Familial cerebral small vessel disease,20/03/18,Stroke,HP:0001297,,
10950,Cardiovascular disorders,33332,Arteriopathies,36469,Familial cerebral small vessel disease,20/03/18,Ischemic stroke,HP:0002140,,
10950,Cardiovascular disorders,33332,Arteriopathies,36469,Familial cerebral small vessel disease,20/03/18,Stroke-like episodes,HP:0002401,,
10950,Cardiovascular disorders,33332,Arteriopathies,36469,Familial cerebral small vessel disease,20/03/18,Transient ischemic attack,HP:0002326,,
10950,Cardiovascular disorders,33332,Arteriopathies,36469,Familial cerebral small vessel disease,20/03/18,Cerebral hemorrhage,HP:0001342,,
10950,Cardiovascular disorders,33332,Arteriopathies,36469,Familial cerebral small vessel disease,20/03/18,Cerebral ischemia,HP:0002637,,
10950,Cardiovascular disorders,33332,Arteriopathies,36469,Familial cerebral small vessel disease,20/03/18,Abnormality of the cerebral white matter,HP:0002500,,
10950,Cardiovascular disorders,33332,Arteriopathies,36469,Familial cerebral small vessel disease,20/03/18,Seizures,HP:0001250,,
10950,Cardiovascular disorders,33332,Arteriopathies,36469,Familial cerebral small vessel disease,20/03/18,Generalized tonic seizures,HP:0010818,,
10950,Cardiovascular disorders,33332,Arteriopathies,36469,Familial cerebral small vessel disease,20/03/18,Dementia,HP:0000726,,
10950,Cardiovascular disorders,33332,Arteriopathies,36469,Familial cerebral small vessel disease,20/03/18,Subcortical dementia,HP:0007123,,
10950,Cardiovascular disorders,33332,Arteriopathies,36469,Familial cerebral small vessel disease,20/03/18,Cognitive impairment,HP:0100543,,
10950,Cardiovascular disorders,33332,Arteriopathies,36469,Familial cerebral small vessel disease,20/03/18,Retinopathy,HP:0000488,,
10950,Cardiovascular disorders,33332,Arteriopathies,36469,Familial cerebral small vessel disease,20/03/18,Hearing impairment,HP:0000365,,
10950,Cardiovascular disorders,33332,Arteriopathies,36469,Familial cerebral small vessel disease,20/03/18,Unilateral deafness,HP:0009900,,
10950,Cardiovascular disorders,33332,Arteriopathies,36469,Familial cerebral small vessel disease,20/03/18,Sensorineural hearing impairment,HP:0000407,,
10950,Cardiovascular disorders,33332,Arteriopathies,36469,Familial cerebral small vessel disease,20/03/18,Peripheral neuropathy,HP:0009830,,
10950,Cardiovascular disorders,33332,Arteriopathies,36469,Familial cerebral small vessel disease,20/03/18,Reduced consciousness/confusion,HP:0004372,,
10950,Cardiovascular disorders,33332,Arteriopathies,36469,Familial cerebral small vessel disease,20/03/18,Encephalopathy,HP:0001298,,
10950,Cardiovascular disorders,33332,Arteriopathies,36469,Familial cerebral small vessel disease,20/03/18,Gait disturbance,HP:0001288,,
10950,Cardiovascular disorders,33332,Arteriopathies,36469,Familial cerebral small vessel disease,20/03/18,Gait apraxia,HP:0010521,,
10950,Cardiovascular disorders,33332,Arteriopathies,36469,Familial cerebral small vessel disease,20/03/18,Ataxia,HP:0001251,,
10950,Cardiovascular disorders,33332,Arteriopathies,36469,Familial cerebral small vessel disease,20/03/18,Abnormality of the retinal vasculature,HP:0008046,,
10950,Cardiovascular disorders,33332,Arteriopathies,36469,Familial cerebral small vessel disease,20/03/18,Depression,HP:0000716,,
10950,Cardiovascular disorders,33332,Arteriopathies,36469,Familial cerebral small vessel disease,20/03/18,Bipolar affective disorder,HP:0007302,,
10950,Cardiovascular disorders,33332,Arteriopathies,36469,Familial cerebral small vessel disease,20/03/18,Anxiety,HP:0000739,,
10950,Cardiovascular disorders,33332,Arteriopathies,36469,Familial cerebral small vessel disease,20/03/18,Apathy,HP:0000741,,
10950,Cardiovascular disorders,33332,Arteriopathies,36469,Familial cerebral small vessel disease,20/03/18,Personality changes,HP:0000751,,
10950,Cardiovascular disorders,33332,Arteriopathies,36469,Familial cerebral small vessel disease,20/03/18,Hypertension,HP:0000822,,
10950,Cardiovascular disorders,33332,Arteriopathies,36469,Familial cerebral small vessel disease,20/03/18,Hyperlipidemia,HP:0003077,,
10950,Cardiovascular disorders,33332,Arteriopathies,36469,Familial cerebral small vessel disease,20/03/18,Diabetes mellitus,HP:0000819,,
10950,Cardiovascular disorders,33332,Arteriopathies,36469,Familial cerebral small vessel disease,20/03/18,Coronary artery disease,HP:0001677,,
10950,Cardiovascular disorders,33332,Arteriopathies,36469,Familial cerebral small vessel disease,20/03/18,Peripheral arterial disease,HP:0004950,,
